iso_3166_2,EntityCode,InstanceCode,InstanceName,Status,DateEnacted,LegalDocOpen,Centroid_X,Centroid_Y,PopWtCentroid_X,PopWtCentroid_Y
GB-ABE,S12,S12000033,Aberdeen City,Live,01/06/2002,SSI 2002/154,389597.0706,807233.3934,392382.6085,806773.162
GB-ABD,S12,S12000034,Aberdeenshire,Live,01/06/2002,SSI 2002/154,362208.9657,817227.2814,381818.8853,823362.2053
GB-ANS,S12,S12000041,Angus,Live,01/04/2010,SSI 2009/442,343940.5107,759596.4147,356290.4499,745204.3242
GB-AGB,S12,S12000035,Argyll and Bute,Live,01/06/2002,SSI 2002/155,182518.5747,698282.4188,214735.4458,681756.5713
GB-EDH,S12,S12000036,City of Edinburgh,Live,01/06/2002,SSI 2002/157,319594.8078,671140.9477,324434.1126,672978.0389
GB-CLK,S12,S12000005,Clackmannanshire,Live,01/04/1996,UKPGA 1994/39,291867.9206,696680.8265,288690.4745,694367.2985
GB-DGY,S12,S12000006,Dumfries and Galloway,Live,01/04/1996,UKPGA 1994/39,275230.5295,576995.7076,296383.3901,576015.7054
GB-DND,S12,S12000042,Dundee City,Live,01/04/2010,SSI 2009/442,340377.6916,732096.5619,340395.6127,731806.4501
GB-EAY,S12,S12000008,East Ayrshire,Live,01/04/1996,UKPGA 1994/39,253853.34,623792.5066,244432.3909,636657.5356
GB-EDU,S12,S12000045,East Dunbartonshire,Live,01/04/2011,SSI 2010/353,261147.3533,675908.1697,260960.6047,672204.0952
GB-ELN,S12,S12000010,East Lothian,Live,01/04/1996,UKPGA 1994/39,355072.601,672353.0184,341170.1161,673561.0093
GB-ERW,S12,S12000011,East Renfrewshire,Live,01/04/1996,UKPGA 1994/39,252009.2688,653612.7183,254679.4712,657213.586
GB-FAL,S12,S12000014,Falkirk,Live,01/04/1996,UKPGA 1994/39,288415.2941,679718.857,289074.8386,680660.4388
GB-FIF,S12,S12000047,Fife,Live,02/02/2018,SSI 2017/430,330469.424,704684.7141,324996.3118,695581.4318
GB-GLG,S12,S12000049,Glasgow City,Live,01/04/2019,SSI 2018/308,259075.1885,665044.9148,258040.3474,665218.0716
GB-HLD,S12,S12000017,Highland,Live,01/04/1996,UKPGA 1994/39,235338.5383,859069.5658,266404.6366,847344.3885
GB-IVC,S12,S12000018,Inverclyde,Live,01/04/1996,UKPGA 1994/39,228639.446,671326.1111,227074.5745,675743.6381
GB-MLN,S12,S12000019,Midlothian,Live,01/04/1996,UKPGA 1994/39,330547.338,660451.7903,331130.8846,664834.1337
GB-MRY,S12,S12000020,Moray,Live,01/04/1996,UKPGA 1994/39,324117.898,843671.4041,322792.1659,862257.9854
GB-ELS,S12,S12000013,Na h-Eileanan Siar,Live,01/04/1996,UKPGA 1994/39,112056.5906,902377.6193,142321.9677,933217.4393
GB-NAY,S12,S12000021,North Ayrshire,Live,01/04/1996,UKPGA 1994/39,212654.7906,643739.7952,228859.6949,643481.7237
GB-NLK,S12,S12000050,North Lanarkshire,Live,01/04/2019,SSI 2018/308,278188.5545,666366.2612,275115.6971,663825.4828
GB-ORK,S12,S12000023,Orkney Islands,Live,01/04/1996,UKPGA 1994/39,340710.783,1016403.165,344501.8589,1010602.478
GB-PKN,S12,S12000048,Perth and Kinross,Live,02/02/2018,SSI 2017/430,288238.5914,743186.8642,310166.1258,724561.3791
GB-RFW,S12,S12000038,Renfrewshire,Live,01/06/2002,SSI 2002/156,240906.8392,664555.2747,246820.8374,664075.0416
GB-SCB,S12,S12000026,Scottish Borders,Live,01/04/1996,UKPGA 1994/39,350457.9405,631834.4206,352915.1648,633972.9692
GB-ZET,S12,S12000027,Shetland Islands,Live,01/04/1996,UKPGA 1994/39,441328.5815,1168524.672,445618.8984,1141773.473
GB-SAY,S12,S12000028,South Ayrshire,Live,01/04/1996,UKPGA 1994/39,229307.9993,600566.5065,234726.1806,622492.7848
GB-SLK,S12,S12000029,South Lanarkshire,Live,01/04/1996,UKPGA 1994/39,286013.478,637021.5396,268885.0278,655109.9341
GB-STG,S12,S12000030,Stirling,Live,01/04/1996,UKPGA 1994/39,255012.1707,708305.9628,278954.1965,693710.0741
GB-WDU,S12,S12000039,West Dunbartonshire,Live,01/06/2002,SSI 2002/155,243027.4895,679752.2284,244742.9199,674566.5906
GB-WLN,S12,S12000040,West Lothian,Live,01/06/2002,SSI 2002/157,301657.0982,666897.793,302778.9616,668323.5417
